source_id,source_name,source_category,role,target_id,target_name,target_category,is_inverse
s2,Axia80 F/T Sensor,传感器,series-member,sensor-ati-mini40,Mini40 F/T Sensor,传感器,0
d1,HaptX Gloves G1,数采 & 遥操,related,e2,Shadow Dexterous Hand (E3M5R),灵巧手 & 夹爪,0
d2,GELLO Arm,数采 & 遥操,related,sw-bridgedata-v2,BridgeData V2,数据集,0
d2,GELLO Arm,数采 & 遥操,related,sw4,RoboMimic,算法框架,0
cp1,Jetson AGX Orin (64GB / 32GB),计算平台,manufacturer,ind1,NVIDIA Robotics,产业,0
cp1,Jetson AGX Orin (64GB / 32GB),计算平台,tech-base,f38,BOOSTER T1,整机平台,1
cp1,Jetson AGX Orin (64GB / 32GB),计算平台,tech-base,f4,Optimus Gen 2,整机平台,1
cp1,Jetson AGX Orin (64GB / 32GB),计算平台,tech-base,f69,WALKER S2,整机平台,1
cp1,Jetson AGX Orin (64GB / 32GB),计算平台,series-member,cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,0
cp1,Jetson AGX Orin (64GB / 32GB),计算平台,series-member,cp-jetson-agx-xavier,Jetson AGX Xavier (legacy),计算平台,0
cp1,Jetson AGX Orin (64GB / 32GB),计算平台,series-member,cp-jetson-nano,Jetson Nano (legacy),计算平台,0
cp1,Jetson AGX Orin (64GB / 32GB),计算平台,series-member,cp-jetson-orin-nano,Jetson Orin Nano (8GB / 4GB),计算平台,0
cp1,Jetson AGX Orin (64GB / 32GB),计算平台,series-member,cp-jetson-orin-nx,Jetson Orin NX (16GB / 8GB),计算平台,0
cp1,Jetson AGX Orin (64GB / 32GB),计算平台,related,sw3,Isaac Lab,算法框架,0
cp2,MIC-733-AO,计算平台,competitor,cp1,Jetson AGX Orin (64GB / 32GB),计算平台,0
f6,SPACEO M1,整机平台,series-member,f13,SPACEO Pro,整机平台,0
f7,YM XPLORE 1,整机平台,tech-base,arm-techman-tm12,Techman TM12,机械臂,0
f7,YM XPLORE 1,整机平台,tech-base,arm-techman-tm5-900,Techman TM5-900,机械臂,0
f8,OPTIMUS,整机平台,manufacturer,ind-tesla-optimus,Tesla Optimus,产业,0
f8,OPTIMUS,整机平台,series-member,f4,Optimus Gen 2,整机平台,0
f8,OPTIMUS,整机平台,series-member,f98,OPTIMUS V2.5,整机平台,0
f9,FIGURE ONE,整机平台,manufacturer,ind-figure,Figure AI,产业,0
f9,FIGURE ONE,整机平台,series-member,f104,FIGURE 03,整机平台,0
f9,FIGURE ONE,整机平台,series-member,f139,FIGURE 02,整机平台,0
f9,FIGURE ONE,整机平台,deployed-at,app-humanoid-manufacturing,Humanoid Manufacturing Assembly,应用场景,0
f10,TARS,整机平台,deployed-at,app-last-mile-delivery,Last-Mile Sidewalk Delivery,应用场景,0
f12,ADAM G0,整机平台,manufacturer,stg-ind-pndbotics,PNDbotics,产业,0
f12,ADAM G0,整机平台,series-member,f124,ADAM LITE,整机平台,0
f13,SPACEO Pro,整机平台,series-member,f6,SPACEO M1,整机平台,0
f15,P1S,整机平台,manufacturer,ind-limx,LimX Dynamics,产业,0
f15,P1S,整机平台,series-member,f132,LIMX CL,整机平台,0
f15,P1S,整机平台,competitor,f2,Oli,整机平台,0
f15,P1S,整机平台,series-member,f25,TRON,整机平台,0
f15,P1S,整机平台,series-member,f73,LIMX OLI,整机平台,0
a4,JAKA K1,机械臂,competitor,arm-jaka-minicobo,JAKA MiniCobo,机械臂,0
a4,JAKA K1,机械臂,competitor,arm-jaka-zu5,JAKA Zu 5,机械臂,0
f21,EVE-3,整机平台,manufacturer,ind-1x,1X Technologies,产业,0
f21,EVE-3,整机平台,series-member,f122,NEO BETA,整机平台,0
f21,EVE-3,整机平台,series-member,f34,NEO Gamma,整机平台,0
f22,MATRIX 1,整机平台,manufacturer,stg-ind-matrix,Matrix Robotics (矩阵超智),产业,0
f22,MATRIX 1,整机平台,series-member,f96,MATRIX 4,整机平台,0
f24,H2,整机平台,manufacturer,ind-unitree,Unitree Robotics (宇树科技),产业,0
f24,H2,整机平台,tech-base,joint-unitree-a1,Unitree A1 Motor,关节模组,0
f24,H2,整机平台,tech-base,joint-unitree-go-m8010-6,Unitree GO-M8010-6,关节模组,0
f24,H2,整机平台,tech-base,cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,0
f24,H2,整机平台,tech-base,pwr-unitree-h1-battery,Unitree H1 Battery Pack,能源动力,0
f25,TRON,整机平台,manufacturer,ind-limx,LimX Dynamics,产业,0
f25,TRON,整机平台,series-member,f132,LIMX CL,整机平台,0
f25,TRON,整机平台,series-member,f15,P1S,整机平台,0
f25,TRON,整机平台,competitor,f2,Oli,整机平台,0
f25,TRON,整机平台,series-member,f73,LIMX OLI,整机平台,0
f25,TRON,整机平台,deployed-at,app-humanoid-manufacturing,Humanoid Manufacturing Assembly,应用场景,0
f25,TRON,整机平台,deployed-at,app-inspection,Industrial Inspection & Maintenance,应用场景,0
f25,TRON,整机平台,deployed-at,app-surgical,Surgical Robotics,应用场景,0
f29,ATLAS,整机平台,manufacturer,ind-boston-dynamics,Boston Dynamics,产业,0
f29,ATLAS,整机平台,tech-base,cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,0
f29,ATLAS,整机平台,tech-base,pwr-spot-battery,Spot Battery,能源动力,0
f30,MAGICBOT,整机平台,manufacturer,stg-ind-magiclab,MagicLab (魔法原子),产业,0
f30,MAGICBOT,整机平台,tech-base,h47,MAGICAND S01,灵巧手 & 夹爪,0
f31,AstroDroid AD-01,整机平台,manufacturer,ind-galbot,Galbot (银河通用),产业,0
f32,DORA,整机平台,manufacturer,stg-ind-noetix,Noetix Robotics (松延动力),产业,0
f32,DORA,整机平台,series-member,f77,HOBBS,整机平台,0
f34,NEO Gamma,整机平台,manufacturer,ind-1x,1X Technologies,产业,0
f34,NEO Gamma,整机平台,series-member,f122,NEO BETA,整机平台,0
f34,NEO Gamma,整机平台,series-member,f21,EVE-3,整机平台,0
f34,NEO Gamma,整机平台,tech-base,cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,0
f34,NEO Gamma,整机平台,deployed-at,app-cleaning,Commercial Cleaning,应用场景,0
f34,NEO Gamma,整机平台,deployed-at,app-home-humanoid,Home Humanoid Pilots,应用场景,0
f37,LUS2,整机平台,manufacturer,stg-ind-lumos,Lumos Robotics (光魔机器人),产业,0
f37,LUS2,整机平台,competitor,f60,NIX,整机平台,0
f38,BOOSTER T1,整机平台,manufacturer,ind-booster,Booster Robotics,产业,0
f38,BOOSTER T1,整机平台,tech-base,cp1,Jetson AGX Orin (64GB / 32GB),计算平台,0
f39,KUAVO-S,整机平台,manufacturer,stg-ind-leju,Leju Robotics (乐聚机器人),产业,0
f39,KUAVO-S,整机平台,series-member,f123,XTRON KUAVO-MY,整机平台,0
f39,KUAVO-S,整机平台,series-member,f56,ROBAN 2,整机平台,0
f39,KUAVO-S,整机平台,series-member,f61,KUAVO-MY,整机平台,0
f40,AGIBOT X1,整机平台,manufacturer,ind-agibot,AgiBot (智元机器人),产业,0
f40,AGIBOT X1,整机平台,series-member,f49,A2,整机平台,0
f40,AGIBOT X1,整机平台,series-member,f70,A2 MAX,整机平台,0
f40,AGIBOT X1,整机平台,series-member,f78,G2 GENIE,整机平台,0
f41,TIAN YI 2.0,整机平台,manufacturer,stg-ind-xhumanoid,X-Humanoid (北京人形机器人创新中心),产业,0
f42,GR-2,整机平台,manufacturer,ind-fourier,Fourier Intelligence (傅利叶智能),产业,0
f42,GR-2,整机平台,competitor,f86,GR-1,整机平台,0
f43,KANGAROO,整机平台,manufacturer,ind-pal-robotics,PAL Robotics,产业,0
f44,PM01,整机平台,manufacturer,stg-ind-engineai,EngineAI (众擎机器人),产业,0
f44,PM01,整机平台,competitor,f106,SE01,整机平台,0
f44,PM01,整机平台,competitor,f50,SA02,整机平台,0
f44,PM01,整机平台,competitor,f67,T800,整机平台,0
f46,ZEUS 1,整机平台,tech-base,h7,PL-WitHand,灵巧手 & 夹爪,0
f49,A2,整机平台,manufacturer,ind-agibot,AgiBot (智元机器人),产业,0
f49,A2,整机平台,series-member,f40,AGIBOT X1,整机平台,0
f49,A2,整机平台,series-member,f70,A2 MAX,整机平台,0
f49,A2,整机平台,series-member,f78,G2 GENIE,整机平台,0
f50,SA02,整机平台,manufacturer,stg-ind-engineai,EngineAI (众擎机器人),产业,0
f50,SA02,整机平台,competitor,f106,SE01,整机平台,0
f50,SA02,整机平台,competitor,f44,PM01,整机平台,0
f50,SA02,整机平台,competitor,f67,T800,整机平台,0
f52,PHYBOT M1,整机平台,manufacturer,stg-ind-phybot,Phybot (北京动易科技),产业,0
f52,PHYBOT M1,整机平台,series-member,f138,PHYBOT C1,整机平台,0
f54,K2 BUMBLEBEE,整机平台,series-member,f72,KEPLER K2,整机平台,0
f54,K2 BUMBLEBEE,整机平台,series-member,f88,KEPLER,整机平台,0
f56,ROBAN 2,整机平台,manufacturer,stg-ind-leju,Leju Robotics (乐聚机器人),产业,0
f56,ROBAN 2,整机平台,series-member,f123,XTRON KUAVO-MY,整机平台,0
f56,ROBAN 2,整机平台,series-member,f39,KUAVO-S,整机平台,0
f56,ROBAN 2,整机平台,series-member,f61,KUAVO-MY,整机平台,0
f58,HMND 01,整机平台,series-member,f108,HMND_01 ALPHA,整机平台,0
f59,MENTEEBOT V3,整机平台,series-member,f114,MENTEEBOT,整机平台,0
f60,NIX,整机平台,manufacturer,stg-ind-lumos,Lumos Robotics (光魔机器人),产业,0
f60,NIX,整机平台,competitor,f37,LUS2,整机平台,0
a6,ultraArm P340,机械臂,manufacturer,stg-ind-elephant,Elephant Robotics (大象机器人),产业,0
a6,ultraArm P340,机械臂,tech-base,f93,Mercury X1,整机平台,1
f61,KUAVO-MY,整机平台,manufacturer,stg-ind-leju,Leju Robotics (乐聚机器人),产业,0
f61,KUAVO-MY,整机平台,series-member,f123,XTRON KUAVO-MY,整机平台,0
f61,KUAVO-MY,整机平台,series-member,f39,KUAVO-S,整机平台,0
f61,KUAVO-MY,整机平台,series-member,f56,ROBAN 2,整机平台,0
f65,CRUZR S2,整机平台,manufacturer,ind-ubtech,UBTech (优必选),产业,0
f65,CRUZR S2,整机平台,competitor,f135,WALKER S1,整机平台,0
f65,CRUZR S2,整机平台,competitor,f144,ALPHA,整机平台,0
f65,CRUZR S2,整机平台,competitor,f69,WALKER S2,整机平台,0
f65,CRUZR S2,整机平台,competitor,f82,WALKER C,整机平台,0
f67,T800,整机平台,manufacturer,stg-ind-engineai,EngineAI (众擎机器人),产业,0
f67,T800,整机平台,competitor,f106,SE01,整机平台,0
f67,T800,整机平台,competitor,f44,PM01,整机平台,0
f67,T800,整机平台,competitor,f50,SA02,整机平台,0
f68,R1 PRO,整机平台,deployed-at,app-home-humanoid,Home Humanoid Pilots,应用场景,0
f69,WALKER S2,整机平台,manufacturer,ind-ubtech,UBTech (优必选),产业,0
f69,WALKER S2,整机平台,series-member,f135,WALKER S1,整机平台,0
f69,WALKER S2,整机平台,competitor,f144,ALPHA,整机平台,0
f69,WALKER S2,整机平台,competitor,f65,CRUZR S2,整机平台,0
f69,WALKER S2,整机平台,series-member,f82,WALKER C,整机平台,0
f69,WALKER S2,整机平台,tech-base,cp1,Jetson AGX Orin (64GB / 32GB),计算平台,0
f70,A2 MAX,整机平台,manufacturer,ind-agibot,AgiBot (智元机器人),产业,0
f70,A2 MAX,整机平台,series-member,f40,AGIBOT X1,整机平台,0
f70,A2 MAX,整机平台,series-member,f49,A2,整机平台,0
f70,A2 MAX,整机平台,series-member,f78,G2 GENIE,整机平台,0
f72,KEPLER K2,整机平台,series-member,f54,K2 BUMBLEBEE,整机平台,0
f72,KEPLER K2,整机平台,series-member,f88,KEPLER,整机平台,0
f73,LIMX OLI,整机平台,manufacturer,ind-limx,LimX Dynamics,产业,0
f73,LIMX OLI,整机平台,series-member,f132,LIMX CL,整机平台,0
f73,LIMX OLI,整机平台,series-member,f15,P1S,整机平台,0
f73,LIMX OLI,整机平台,competitor,f2,Oli,整机平台,0
f73,LIMX OLI,整机平台,series-member,f25,TRON,整机平台,0
f77,HOBBS,整机平台,manufacturer,stg-ind-noetix,Noetix Robotics (松延动力),产业,0
f77,HOBBS,整机平台,series-member,f32,DORA,整机平台,0
f78,G2 GENIE,整机平台,manufacturer,ind-agibot,AgiBot (智元机器人),产业,0
f78,G2 GENIE,整机平台,series-member,f40,AGIBOT X1,整机平台,0
f78,G2 GENIE,整机平台,series-member,f49,A2,整机平台,0
f78,G2 GENIE,整机平台,series-member,f70,A2 MAX,整机平台,0
f79,AI WORKER,整机平台,tech-base,h33,HXS-D20,灵巧手 & 夹爪,0
f79,AI WORKER,整机平台,tech-base,j2,Dynamixel PH54-200-S500,关节模组,0
f79,AI WORKER,整机平台,tech-base,joint-dynamixel-ph42-020,Dynamixel PH42-020-S300,关节模组,0
f79,AI WORKER,整机平台,tech-base,joint-dynamixel-xh540-w270,Dynamixel XH540-W270,关节模组,0
f79,AI WORKER,整机平台,tech-base,joint-dynamixel-xm430-w350,Dynamixel XM430-W350,关节模组,0
f80,ATOM,整机平台,series-member,f129,ATOM MAX,整机平台,0
f81,APPTRONIK APOLLO,整机平台,manufacturer,ind-apptronik,Apptronik,产业,0
f81,APPTRONIK APOLLO,整机平台,deployed-at,app-humanoid-manufacturing,Humanoid Manufacturing Assembly,应用场景,0
f82,WALKER C,整机平台,manufacturer,ind-ubtech,UBTech (优必选),产业,0
f82,WALKER C,整机平台,series-member,f135,WALKER S1,整机平台,0
f82,WALKER C,整机平台,competitor,f144,ALPHA,整机平台,0
f82,WALKER C,整机平台,competitor,f65,CRUZR S2,整机平台,0
f82,WALKER C,整机平台,series-member,f69,WALKER S2,整机平台,0
f84,UNITREE H1,整机平台,manufacturer,ind-unitree,Unitree Robotics (宇树科技),产业,0
f84,UNITREE H1,整机平台,competitor,f140,G1,整机平台,0
f86,GR-1,整机平台,manufacturer,ind-fourier,Fourier Intelligence (傅利叶智能),产业,0
f86,GR-1,整机平台,competitor,f42,GR-2,整机平台,0
f88,KEPLER,整机平台,series-member,f54,K2 BUMBLEBEE,整机平台,0
f88,KEPLER,整机平台,series-member,f72,KEPLER K2,整机平台,0
f93,Mercury X1,整机平台,manufacturer,stg-ind-elephant,Elephant Robotics (大象机器人),产业,0
f93,Mercury X1,整机平台,tech-base,a6,ultraArm P340,机械臂,0
f96,MATRIX 4,整机平台,manufacturer,stg-ind-matrix,Matrix Robotics (矩阵超智),产业,0
f96,MATRIX 4,整机平台,series-member,f22,MATRIX 1,整机平台,0
f98,OPTIMUS V2.5,整机平台,manufacturer,ind-tesla-optimus,Tesla Optimus,产业,0
f98,OPTIMUS V2.5,整机平台,series-member,f4,Optimus Gen 2,整机平台,0
f98,OPTIMUS V2.5,整机平台,series-member,f8,OPTIMUS,整机平台,0
f104,FIGURE 03,整机平台,manufacturer,ind-figure,Figure AI,产业,0
f104,FIGURE 03,整机平台,series-member,f139,FIGURE 02,整机平台,0
f104,FIGURE 03,整机平台,series-member,f9,FIGURE ONE,整机平台,0
f104,FIGURE 03,整机平台,deployed-at,app-humanoid-manufacturing,Humanoid Manufacturing Assembly,应用场景,0
f105,ROBOTERA L2,整机平台,manufacturer,ind-robot-era,Robot Era (星动纪元),产业,0
f105,ROBOTERA L2,整机平台,series-member,flagship-robotera-l7,L7,整机平台,0
f106,SE01,整机平台,manufacturer,stg-ind-engineai,EngineAI (众擎机器人),产业,0
f106,SE01,整机平台,competitor,f44,PM01,整机平台,0
f106,SE01,整机平台,competitor,f50,SA02,整机平台,0
f106,SE01,整机平台,competitor,f67,T800,整机平台,0
f108,HMND_01 ALPHA,整机平台,series-member,f58,HMND 01,整机平台,0
f110,GALBOT,整机平台,manufacturer,ind-galbot,Galbot (银河通用),产业,0
f110,GALBOT,整机平台,competitor,f111,GALBOT S1,整机平台,0
f110,GALBOT,整机平台,competitor,flagship-galbot-g1,Galbot G1,整机平台,0
f111,GALBOT S1,整机平台,manufacturer,ind-galbot,Galbot (银河通用),产业,0
f111,GALBOT S1,整机平台,competitor,f110,GALBOT,整机平台,0
f111,GALBOT S1,整机平台,competitor,flagship-galbot-g1,Galbot G1,整机平台,0
f114,MENTEEBOT,整机平台,series-member,f59,MENTEEBOT V3,整机平台,0
f118,PHOENIX,整机平台,manufacturer,ind-sanctuary,Sanctuary AI,产业,0
f118,PHOENIX,整机平台,tech-base,h14,PHOENIX 3.2,灵巧手 & 夹爪,0
f120,PUDU D7,整机平台,manufacturer,stg-ind-pudu,Pudu Robotics (普渡科技),产业,0
f120,PUDU D7,整机平台,series-member,f127,PUDU D9,整机平台,0
f120,PUDU D7,整机平台,deployed-at,app-cleaning,Commercial Cleaning,应用场景,0
f120,PUDU D7,整机平台,deployed-at,app-hospitality,Hospitality / Food Service,应用场景,0
f122,NEO BETA,整机平台,manufacturer,ind-1x,1X Technologies,产业,0
f122,NEO BETA,整机平台,series-member,f21,EVE-3,整机平台,0
f122,NEO BETA,整机平台,series-member,f34,NEO Gamma,整机平台,0
f122,NEO BETA,整机平台,deployed-at,app-cleaning,Commercial Cleaning,应用场景,0
f122,NEO BETA,整机平台,deployed-at,app-home-humanoid,Home Humanoid Pilots,应用场景,0
f123,XTRON KUAVO-MY,整机平台,manufacturer,stg-ind-leju,Leju Robotics (乐聚机器人),产业,0
f123,XTRON KUAVO-MY,整机平台,series-member,f39,KUAVO-S,整机平台,0
f123,XTRON KUAVO-MY,整机平台,series-member,f56,ROBAN 2,整机平台,0
f123,XTRON KUAVO-MY,整机平台,series-member,f61,KUAVO-MY,整机平台,0
f124,ADAM LITE,整机平台,manufacturer,stg-ind-pndbotics,PNDbotics,产业,0
f124,ADAM LITE,整机平台,series-member,f12,ADAM G0,整机平台,0
f127,PUDU D9,整机平台,manufacturer,stg-ind-pudu,Pudu Robotics (普渡科技),产业,0
f127,PUDU D9,整机平台,series-member,f120,PUDU D7,整机平台,0
f127,PUDU D9,整机平台,deployed-at,app-cleaning,Commercial Cleaning,应用场景,0
f127,PUDU D9,整机平台,deployed-at,app-hospitality,Hospitality / Food Service,应用场景,0
f128,IRON,整机平台,manufacturer,ind-xpeng-robotics,XPENG Robotics (Iron),产业,0
f128,IRON,整机平台,deployed-at,sw-dreamerv3,DreamerV3,基础模型,1
f128,IRON,整机平台,series-member,flagship-xpeng-iron-nextgen,Next-Gen IRON,整机平台,0
f128,IRON,整机平台,related,sw-calvin,CALVIN,评测基准,0
f129,ATOM MAX,整机平台,series-member,f80,ATOM,整机平台,0
f130,DIGIT,整机平台,manufacturer,ind-agility,Agility Robotics,产业,0
f130,DIGIT,整机平台,series-member,f1,Memo,整机平台,0
f131,KEENON XMAN-R1,整机平台,deployed-at,app-hospitality,Hospitality / Food Service,应用场景,0
f132,LIMX CL,整机平台,manufacturer,ind-limx,LimX Dynamics,产业,0
f132,LIMX CL,整机平台,series-member,f15,P1S,整机平台,0
f132,LIMX CL,整机平台,competitor,f2,Oli,整机平台,0
f132,LIMX CL,整机平台,series-member,f25,TRON,整机平台,0
f132,LIMX CL,整机平台,series-member,f73,LIMX OLI,整机平台,0
f135,WALKER S1,整机平台,manufacturer,ind-ubtech,UBTech (优必选),产业,0
f135,WALKER S1,整机平台,competitor,f144,ALPHA,整机平台,0
f135,WALKER S1,整机平台,competitor,f65,CRUZR S2,整机平台,0
f135,WALKER S1,整机平台,series-member,f69,WALKER S2,整机平台,0
f135,WALKER S1,整机平台,series-member,f82,WALKER C,整机平台,0
f138,PHYBOT C1,整机平台,manufacturer,stg-ind-phybot,Phybot (北京动易科技),产业,0
f138,PHYBOT C1,整机平台,series-member,f52,PHYBOT M1,整机平台,0
f139,FIGURE 02,整机平台,manufacturer,ind-figure,Figure AI,产业,0
f139,FIGURE 02,整机平台,series-member,f104,FIGURE 03,整机平台,0
f139,FIGURE 02,整机平台,series-member,f9,FIGURE ONE,整机平台,0
f139,FIGURE 02,整机平台,deployed-at,app-humanoid-manufacturing,Humanoid Manufacturing Assembly,应用场景,0
f140,G1,整机平台,manufacturer,ind-unitree,Unitree Robotics (宇树科技),产业,0
f140,G1,整机平台,competitor,f84,UNITREE H1,整机平台,0
f144,ALPHA,整机平台,manufacturer,ind-ubtech,UBTech (优必选),产业,0
f144,ALPHA,整机平台,competitor,f135,WALKER S1,整机平台,0
f144,ALPHA,整机平台,competitor,f65,CRUZR S2,整机平台,0
f144,ALPHA,整机平台,competitor,f69,WALKER S2,整机平台,0
f144,ALPHA,整机平台,competitor,f82,WALKER C,整机平台,0
h3,DG-3F-S,灵巧手 & 夹爪,series-member,h39,DG-5F,灵巧手 & 夹爪,0
h4,HUMA,灵巧手 & 夹爪,related,lab-nyu-grail,NYU GRAIL (General Robotics & AI Lab),实验室,0
h4,HUMA,灵巧手 & 夹爪,related,sw-1x-world-model,1X World Model,基础模型,0
h4,HUMA,灵巧手 & 夹爪,related,sw-groot-n1,GR00T N1,基础模型,0
h4,HUMA,灵巧手 & 夹爪,related,sw-groot-n1-5,GR00T N1.5,基础模型,0
h4,HUMA,灵巧手 & 夹爪,related,sw-robovqa,RoboVQA,数据集,0
h5,RH50G2,灵巧手 & 夹爪,series-member,h20,RH50 SERIES,灵巧手 & 夹爪,0
h5,RH50G2,灵巧手 & 夹爪,series-member,h25,RH56E2 SERIES,灵巧手 & 夹爪,0
h7,PL-WitHand,灵巧手 & 夹爪,tech-base,f46,ZEUS 1,整机平台,1
h11,OMNIHAND PRO,灵巧手 & 夹爪,manufacturer,ind-agibot,AgiBot (智元机器人),产业,0
h11,OMNIHAND PRO,灵巧手 & 夹爪,series-member,h17,OMNIHAND,灵巧手 & 夹爪,0
h14,PHOENIX 3.2,灵巧手 & 夹爪,manufacturer,ind-sanctuary,Sanctuary AI,产业,0
h14,PHOENIX 3.2,灵巧手 & 夹爪,tech-base,f118,PHOENIX,整机平台,1
h17,OMNIHAND,灵巧手 & 夹爪,manufacturer,ind-agibot,AgiBot (智元机器人),产业,0
h17,OMNIHAND,灵巧手 & 夹爪,series-member,h11,OMNIHAND PRO,灵巧手 & 夹爪,0
h20,RH50 SERIES,灵巧手 & 夹爪,series-member,h25,RH56E2 SERIES,灵巧手 & 夹爪,0
h20,RH50 SERIES,灵巧手 & 夹爪,series-member,h5,RH50G2,灵巧手 & 夹爪,0
h21,GMH18,灵巧手 & 夹爪,series-member,h30,DEXH5,灵巧手 & 夹爪,0
h21,GMH18,灵巧手 & 夹爪,series-member,h41,DEXH13,灵巧手 & 夹爪,0
h24,DEX-EE,灵巧手 & 夹爪,series-member,h29,DEXTEROUS HAND,灵巧手 & 夹爪,0
h25,RH56E2 SERIES,灵巧手 & 夹爪,series-member,h20,RH50 SERIES,灵巧手 & 夹爪,0
